freq,mu_load,mu_source
500000000.0,1.2587820018761193,1.2594492995252764
600000000.0,1.3466629926213272,1.1310350870733958
700000000.0,1.5423893237215833,1.0682719564035887
800000000.0,1.6229225227973105,1.053548513433594
900000000.0,1.5602788988165501,1.0490530500121054
1000000000.0,1.5034033121613752,1.0483077648160684
1100000000.0,1.4969666115950977,1.0495870991448195
1200000000.0,1.548285379280582,1.0524583588141163
1300000000.0,1.6740442623568945,1.0570391687202836
1400000000.0,1.91431380946216,1.06390580707389
1500000000.0,2.337018566028155,1.0743078806173871
1600000000.0,2.9160571385915555,1.090828007121444
1700000000.0,2.832788119495588,1.1191072181427408
1800000000.0,2.39324677509705,1.1731123598657918
1900000000.0,2.1970448559370537,1.2937784032469417
2000000000.0,2.210852385517416,1.6350670487877572
2100000000.0,2.4334179005037937,3.1667017880663013
2200000000.0,2.6154030759620293,1.6696280778375727
2300000000.0,2.153038649567163,1.2994055316395916
2400000000.0,1.772586395039731,1.1742081146862997
2500000000.0,1.5599559721229377,1.120533000987918
2600000000.0,1.4500643947772522,1.0940053197220771
2700000000.0,1.4053553742288774,1.0800314321687523
2800000000.0,1.4137880664218874,1.0729688952103038
2900000000.0,1.4890191084106368,1.070651277240741
3000000000.0,1.6895730476755537,1.0724950536060025
3100000000.0,2.1342257899068278,1.0789943352157045
3200000000.0,2.2260394971319095,1.0917012044492394
3300000000.0,1.6472808378304737,1.1135638487829724
3400000000.0,1.3442073287958218,1.1497427379050218
3500000000.0,1.2133254773657611,1.2094123968499158
3600000000.0,1.152656066205321,1.3094557542456387
3700000000.0,1.1236260591755618,1.4810524828840836
3800000000.0,1.1133545223225687,1.772383255673904
3900000000.0,1.1269439045517093,2.1718289269133644
4000000000.0,1.1961078824133142,2.3359103630237943
4100000000.0,1.1101207815837044,2.1307534973274147
4200000000.0,1.0931104051296703,1.787483048860923
4300000000.0,1.1017315638230412,1.5429761555502748
4400000000.0,1.1266056945369471,1.393190004887906
4500000000.0,1.1873781420129677,1.299833255258084
4600000000.0,1.3913109586960257,1.2388093533734068
4700000000.0,3.0743509772121218,1.1972551305196237
4800000000.0,2.8037628858761314,1.1694013368111629
4900000000.0,1.5005798895667313,1.1523258603536546
5000000000.0,1.3279153721534145,1.1430107632429742
5100000000.0,1.297029824683076,1.139214879911294
5200000000.0,1.3171926548876038,1.1399954490884736
5300000000.0,1.386984779644411,1.1453261875303404
5400000000.0,1.5841304515341987,1.1560851381269921
5500000000.0,2.3322607589843263,1.1749143654468102
5600000000.0,2.171166639541552,1.2073290083750405
5700000000.0,1.4558344575718432,1.2604154775396534
5800000000.0,1.2869843929545795,1.3556836327664936
5900000000.0,1.2242514535867843,1.6344249965808773
6000000000.0,1.189868424075815,5.350480197102644
6100000000.0,1.1663118377960284,2.7890301693516366
6200000000.0,1.1483209169854907,2.5554024635511774
6300000000.0,1.1340012352125628,2.7323741424400807
6400000000.0,1.1225953964958084,2.644173356426989
6500000000.0,1.113854501700661,2.290134646497019
6600000000.0,1.1079816563793477,1.951836351339786
6700000000.0,1.1057846256384838,1.7007005138744396
6800000000.0,1.1081181291895672,1.5124101139210964
6900000000.0,1.1199722575263988,1.3777633428507701
7000000000.0,1.1625285945878907,1.286124326299579
7100000000.0,1.2891634790627424,1.2262115166655176
7200000000.0,1.3425616280913737,1.1875705234282372
7300000000.0,1.1941615007917519,1.1632086231578405
7400000000.0,1.126006275959621,1.1507313358216167
7500000000.0,1.1002692796711473,1.1580844355243465
7600000000.0,1.0919121929726199,1.2105453947588432
7700000000.0,1.0967109005449502,1.1474856429409106
7800000000.0,1.1271672701280966,1.1129580621217683
7900000000.0,1.2239612093648837,1.1048840862083633
8000000000.0,1.1947815449254746,1.1054911393780773